typeID,name,unit,description,methodID,siteID
g,gravity,m/s/s,acceleration due to gravity,,
ap,air pressure,hPa,air pressure,,
fp,fluid pressure,hPa,fluid pressure,,
vel,velocity,m/s,velocity of fluid or other object,,
dir,direction,deg,flow direction of a fluid,,
vol,voltage,V,power supply voltage,,
tl,tilt,rad,angle of tilt relative to the horizontal,,
rs,rsam,nm/s,10-minute mean ground velocity in a given frequency band,,
ph,ph,-,degree of acidity or alkalinity of a sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-1/WI226-2/WI227/WI228
Cl,chloride,mg/L,concentration in a sample,lab,RU001/TO015/TO030/TO031/TO032/TO033/TO034
Mg,magnesium,mg/L,concentration in a sample,lab,RU001
